id,question,in_scope,relevance,category,source,original_question
q_0001,What can I do to avoid ATM fees?,no,irrelevant_match,atm_services,generated,How do I avoid ATM fees?
q_0002,How do I access and view my electronic account statements online?,yes,in_scope,in_scope,synthetic,view statements online
q_0003,My card was lost and I need a replacement urgently—what’s the process for requesting an emergency replacement card and how quickly can it be issued?,yes,in_scope,in_scope,synthetic,emergency card replacement
q_0004,I'm setting up how I'll pay my card each month and want to know what choices I have. What payment methods do you offer?,yes,in_scope,in_scope,synthetic,payment methods available
q_0005,What services can I access at the branch?,no,irrelevant_match,branch_services,generated,What services are available at the branch?
q_0006,Is it possible to cancel a wire transfer after I’ve already sent it?,no,irrelevant_match,wire_transfers,generated,Can I cancel a wire transfer after it's sent?
q_0007,Can I receive text alerts for my transactions?,no,irrelevant_match,account_alerts,generated,Can I get text notifications for transactions?
q_0008,"I just filed a dispute with a merchant over a charge — what’s the usual timeline from filing to resolution, and when should I expect to hear back?",yes,in_scope,in_scope,synthetic,merchant dispute timeline
q_0009,I'm carrying a balance on another credit card and considering moving it to this card to reduce interest—how does a balance transfer actually work?,yes,in_scope,in_scope,synthetic,balance transfer
q_0010,What are my tax reporting obligations for cryptocurrency transactions made using my card?,no,out_of_scope,cryptocurrency,generated,What are the tax reporting requirements for crypto transactions on my card?
q_0011,I'm planning to close my account—what's the process to do that and are there any steps or fees I should be aware of beforehand?,yes,in_scope,in_scope,ground_truth,account closure
q_0012,I’m concerned about unauthorized charges—what built-in safeguards and fraud-prevention features does your card/account provide to detect and stop fraudulent activity?,yes,in_scope,in_scope,synthetic,fraud protection features
q_0013,What time does your branch open and close?,no,irrelevant_match,branch_services,generated,What are your branch hours?
q_0014,Can I use any ATM to deposit cash?,no,irrelevant_match,atm_services,generated,Can I deposit cash at any ATM?
q_0015,Can I use my account to invest in commodity futures?,no,out_of_scope,investment_products,generated,Can I invest in commodities futures through my account?
q_0016,How can I enable biometric sign-in for the app?,no,irrelevant_match,mobile_app,generated,How do I enable biometric login on the app?
q_0017,I'm planning to close my credit card—what steps do I need to take to cancel the account and have it fully closed?,yes,in_scope,in_scope,ground_truth,closure
q_0018,What can I do to stop paying ATM fees?,no,irrelevant_match,atm_services,generated,How do I avoid ATM fees?
q_0019,Is there a minimum balance required to maintain a savings account?,no,irrelevant_match,savings_accounts,generated,What's the minimum balance for a savings account?
q_0020,"I'm planning to close my account and want to make sure I handle it correctly—what steps do I need to take to cancel it, and are there any outstanding balances or closure fees I should be aware of?",yes,in_scope,in_scope,ground_truth,account closure
q_0021,How can I set up biometric sign-in (Face ID or fingerprint) in the app?,no,irrelevant_match,mobile_app,generated,How do I enable biometric login on the app?
q_0022,Do you offer financing for classic or collectible vehicles?,no,out_of_scope,auto_loans,generated,Do you finance classic or collector vehicles?
q_0023,"I'm trying not to miss payments—could you explain how a credit card statement cycle works? In plain terms, how is the billing period determined, when is the statement issued, and how does that relate to the payment due date?",yes,in_scope,in_scope,synthetic,statement cycle explained
q_0024,How long does it usually take for a wire transfer to go through?,no,irrelevant_match,wire_transfers,generated,How long does a wire transfer take?
q_0025,I'd like to cancel my credit card—what's the process for closing the account?,yes,in_scope,in_scope,ground_truth,closure
q_0026,I'm reviewing credit card options—what perks and benefits does your rewards program provide to cardholders?,yes,in_scope,in_scope,synthetic,rewards program benefits
q_0027,I'm planning to shut down my credit card because I don't use it anymore. What steps do I need to take to close the account?,yes,in_scope,in_scope,ground_truth,closure
q_0028,What details do I need to provide to receive a wire transfer?,no,irrelevant_match,wire_transfers,generated,What information do I need to receive a wire transfer?
q_0029,Is it possible to stake Ethereum using money from my credit card?,no,out_of_scope,cryptocurrency,generated,Can I stake Ethereum using funds from my credit card?
